reporterid,measureid,numerator,denominator,iso_week,iso_year,month,quarter,year,issuppressed,notes
21001,anx_score,,,1-01,1-2021,,,,,
21001,anx_score,,,1-02,1-2021,,,,,
21001,anx_score,,,1-03,1-2021,,,,,
21001,anx_score,,,1-04,1-2021,,,,,
21001,anx_score,,,1-05,1-2021,,,,,
21001,anx_score,,,1-06,1-2021,,,,,
21001,anx_score,,,1-07,1-2021,,,,,
21001,anx_score,,,1-08,1-2021,,,,,
21001,anx_score,,,1-09,1-2021,,,,,
21001,anx_score,,,1-10,1-2021,,,,,
21001,anx_score,,,1-11,1-2021,,,,,
21001,anx_score,,,1-12,1-2021,,,,,
21001,anx_score,,,1-13,1-2021,,,,,
21001,anx_score,,,1-14,1-2021,,,,,
21001,anx_score,,,1-15,1-2021,,,,,
21001,anx_score,,,1-16,1-2021,,,,,
21001,anx_score,,,1-17,1-2021,,,,,
21001,anx_score,,,1-18,1-2021,,,,,
21001,anx_score,,,1-19,1-2021,,,,,
21001,anx_score,,,1-20,1-2021,,,,,
21001,anx_score,,,1-21,1-2021,,,,,
21001,anx_score,,,1-22,1-2021,,,,,
21001,anx_score,,,1-23,1-2021,,,,,
21001,anx_score,,,1-24,1-2021,,,,,
21001,anx_score,,,1-25,1-2021,,,,,
21001,anx_score,,,1-26,1-2021,,,,,
21001,anx_score,,,1-27,1-2021,,,,,
21001,anx_score,,,1-28,1-2021,,,,,
21001,anx_score,,,1-29,1-2021,,,,,
21001,anx_score,,,1-30,1-2021,,,,,
21001,anx_score,,,1-31,1-2021,,,,,
21001,anx_score,,,1-32,1-2021,,,,,
21001,anx_score,,,1-33,1-2021,,,,,
21001,anx_score,,,1-34,1-2021,,,,,
21001,anx_score,,,1-35,1-2021,,,,,
21001,anx_score,,,1-36,1-2021,,,,,
21001,anx_score,,,1-37,1-2021,,,,,
21001,anx_score,,,1-38,1-2021,,,,,
21001,anx_score,,,1-39,1-2021,,,,,
21001,anx_score,,,1-40,1-2021,,,,,
21001,anx_score,,,1-41,1-2021,,,,,
21001,anx_score,,,1-42,1-2021,,,,,
21001,anx_score,,,1-43,1-2021,,,,,
21001,anx_score,,,1-44,1-2021,,,,,
21001,anx_score,,,1-45,1-2021,,,,,
21001,anx_score,,,1-46,1-2021,,,,,
21001,anx_score,,,1-47,1-2021,,,,,
21001,anx_score,,,1-48,1-2021,,,,,
21001,anx_score,,,1-49,1-2021,,,,,
21001,anx_score,,,1-50,1-2021,,,,,
21001,anx_score,,,1-51,1-2021,,,,,
21001,anx_score,,,1-52,1-2020,,,,,
21001,anx_score,,,1-52,1-2021,,,,,
21003,anx_score,,,1-01,1-2021,,,,,
21003,anx_score,,,1-02,1-2021,,,,,
21003,anx_score,,,1-03,1-2021,,,,,
21003,anx_score,,,1-04,1-2021,,,,,
21003,anx_score,,,1-05,1-2021,,,,,
21003,anx_score,,,1-06,1-2021,,,,,
21003,anx_score,,,1-07,1-2021,,,,,
21003,anx_score,,,1-08,1-2021,,,,,
21003,anx_score,,,1-09,1-2021,,,,,
21003,anx_score,,,1-10,1-2021,,,,,
21003,anx_score,,,1-11,1-2021,,,,,
21003,anx_score,,,1-12,1-2021,,,,,
21003,anx_score,,,1-13,1-2021,,,,,
21003,anx_score,,,1-14,1-2021,,,,,
21003,anx_score,,,1-15,1-2021,,,,,
21003,anx_score,,,1-16,1-2021,,,,,
21003,anx_score,,,1-17,1-2021,,,,,
21003,anx_score,,,1-18,1-2021,,,,,
21003,anx_score,,,1-19,1-2021,,,,,
21003,anx_score,,,1-20,1-2021,,,,,
21003,anx_score,,,1-21,1-2021,,,,,
21003,anx_score,,,1-22,1-2021,,,,,
21003,anx_score,,,1-23,1-2021,,,,,
21003,anx_score,,,1-24,1-2021,,,,,
21003,anx_score,,,1-25,1-2021,,,,,
21003,anx_score,,,1-26,1-2021,,,,,
21003,anx_score,,,1-27,1-2021,,,,,
21003,anx_score,,,1-28,1-2021,,,,,
21003,anx_score,,,1-29,1-2021,,,,,
21003,anx_score,,,1-30,1-2021,,,,,
21003,anx_score,,,1-31,1-2021,,,,,
21003,anx_score,,,1-32,1-2021,,,,,
21003,anx_score,,,1-33,1-2021,,,,,
21003,anx_score,,,1-34,1-2021,,,,,
21003,anx_score,,,1-35,1-2021,,,,,
21003,anx_score,,,1-36,1-2021,,,,,
21003,anx_score,,,1-37,1-2021,,,,,
21003,anx_score,,,1-38,1-2021,,,,,
21003,anx_score,,,1-39,1-2021,,,,,
21003,anx_score,,,1-40,1-2021,,,,,
21003,anx_score,,,1-41,1-2021,,,,,
21003,anx_score,,,1-42,1-2021,,,,,
21003,anx_score,,,1-43,1-2021,,,,,
21003,anx_score,,,1-44,1-2021,,,,,
21003,anx_score,,,1-45,1-2021,,,,,
21003,anx_score,,,1-46,1-2021,,,,,
21003,anx_score,,,1-47,1-2021,,,,,
21003,anx_score,,,1-48,1-2021,,,,,
21003,anx_score,,,1-49,1-2021,,,,,
21003,anx_score,,,1-50,1-2021,,,,,
21003,anx_score,,,1-51,1-2021,,,,,
21003,anx_score,,,1-52,1-2020,,,,,
21003,anx_score,,,1-52,1-2021,,,,,
21005,anx_score,,,1-01,1-2021,,,,,
21005,anx_score,,,1-02,1-2021,,,,,
21005,anx_score,,,1-03,1-2021,,,,,
21005,anx_score,,,1-04,1-2021,,,,,
21005,anx_score,,,1-05,1-2021,,,,,
21005,anx_score,,,1-06,1-2021,,,,,
21005,anx_score,,,1-07,1-2021,,,,,
21005,anx_score,,,1-08,1-2021,,,,,
21005,anx_score,,,1-09,1-2021,,,,,
21005,anx_score,,,1-10,1-2021,,,,,
21005,anx_score,,,1-11,1-2021,,,,,
21005,anx_score,,,1-12,1-2021,,,,,
21005,anx_score,,,1-13,1-2021,,,,,
21005,anx_score,,,1-14,1-2021,,,,,
21005,anx_score,,,1-15,1-2021,,,,,
21005,anx_score,,,1-16,1-2021,,,,,
21005,anx_score,,,1-17,1-2021,,,,,
21005,anx_score,,,1-18,1-2021,,,,,
21005,anx_score,,,1-19,1-2021,,,,,
21005,anx_score,,,1-20,1-2021,,,,,
21005,anx_score,,,1-21,1-2021,,,,,
21005,anx_score,,,1-22,1-2021,,,,,
21005,anx_score,,,1-23,1-2021,,,,,
21005,anx_score,,,1-24,1-2021,,,,,
21005,anx_score,,,1-25,1-2021,,,,,
21005,anx_score,,,1-26,1-2021,,,,,
21005,anx_score,,,1-27,1-2021,,,,,
21005,anx_score,,,1-28,1-2021,,,,,
21005,anx_score,,,1-29,1-2021,,,,,
21005,anx_score,,,1-30,1-2021,,,,,
21005,anx_score,,,1-31,1-2021,,,,,
21005,anx_score,,,1-32,1-2021,,,,,
21005,anx_score,,,1-33,1-2021,,,,,
21005,anx_score,,,1-34,1-2021,,,,,
21005,anx_score,,,1-35,1-2021,,,,,
21005,anx_score,,,1-36,1-2021,,,,,
21005,anx_score,,,1-37,1-2021,,,,,
21005,anx_score,,,1-38,1-2021,,,,,
21005,anx_score,,,1-39,1-2021,,,,,
21005,anx_score,,,1-40,1-2021,,,,,
21005,anx_score,,,1-41,1-2021,,,,,
21005,anx_score,,,1-42,1-2021,,,,,
21005,anx_score,,,1-43,1-2021,,,,,
21005,anx_score,,,1-44,1-2021,,,,,
21005,anx_score,,,1-45,1-2021,,,,,
21005,anx_score,,,1-46,1-2021,,,,,
21005,anx_score,,,1-47,1-2021,,,,,
21005,anx_score,,,1-48,1-2021,,,,,
21005,anx_score,,,1-49,1-2021,,,,,
21005,anx_score,,,1-50,1-2021,,,,,
21005,anx_score,,,1-51,1-2021,,,,,
21005,anx_score,,,1-52,1-2020,,,,,
21005,anx_score,,,1-52,1-2021,,,,,
21007,anx_score,,,1-01,1-2021,,,,,
21007,anx_score,,,1-02,1-2021,,,,,
21007,anx_score,,,1-03,1-2021,,,,,
21007,anx_score,,,1-04,1-2021,,,,,
21007,anx_score,,,1-05,1-2021,,,,,
21007,anx_score,,,1-06,1-2021,,,,,
21007,anx_score,,,1-07,1-2021,,,,,
21007,anx_score,,,1-08,1-2021,,,,,
21007,anx_score,,,1-09,1-2021,,,,,
21007,anx_score,,,1-10,1-2021,,,,,
21007,anx_score,,,1-11,1-2021,,,,,
21007,anx_score,,,1-12,1-2021,,,,,
21007,anx_score,,,1-13,1-2021,,,,,
21007,anx_score,,,1-14,1-2021,,,,,
21007,anx_score,,,1-15,1-2021,,,,,
21007,anx_score,,,1-16,1-2021,,,,,
21007,anx_score,,,1-17,1-2021,,,,,
21007,anx_score,,,1-18,1-2021,,,,,
21007,anx_score,,,1-19,1-2021,,,,,
21007,anx_score,,,1-20,1-2021,,,,,
21007,anx_score,,,1-21,1-2021,,,,,
21007,anx_score,,,1-22,1-2021,,,,,
21007,anx_score,,,1-23,1-2021,,,,,
21007,anx_score,,,1-24,1-2021,,,,,
21007,anx_score,,,1-25,1-2021,,,,,
21007,anx_score,,,1-26,1-2021,,,,,
